OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0101 (PRN E11),2011-060A,2020-12-25T04:17:32.411904,1.70475445,.0002993,56.7428,36.0495,307.5142,52.5218,0,U,37846,999,5702,0,-.74E-6,0
GSAT0102 (PRN E12),2011-060B,2020-12-25T16:33:42.691680,1.70475589,.0004981,56.7440,36.0349,296.1080,63.8463,0,U,37847,999,5703,0,-.71E-6,0
GSAT0103 (PRN E19),2012-055A,2020-12-25T19:22:10.945632,1.70473796,.000142,55.0121,156.5145,231.4157,128.5539,0,U,38857,999,5107,0,.75E-6,0
GSAT0104 (PRN E20),2012-055B,2020-12-25T17:47:44.223648,1.70473717,.0000494,55.0126,156.5159,166.0098,193.9741,0,U,38858,999,5107,0,.75E-6,0
GSAT0201 (PRN E18),2014-050A,2020-12-25T04:59:34.180800,1.85519619,.1653469,50.5328,353.7659,105.6111,273.2464,0,U,40128,999,4121,0,-.105E-5,0
GSAT0202 (PRN E14),2014-050B,2020-12-25T11:18:19.793088,1.85520252,.1651005,50.5667,352.7988,106.4324,272.3523,0,U,40129,999,4338,0,-.104E-5,0
GSAT0203 (PRN E26),2015-017A,2020-12-23T04:48:19.239552,1.70475241,.0005412,56.5356,36.2113,252.4062,107.5925,0,U,40544,999,3507,0,-.83E-6,0
GSAT0204 (PRN E22),2015-017B,2020-12-25T07:51:39.232224,1.70475346,.0003587,56.5433,36.1693,230.3092,129.7226,0,U,40545,999,3577,0,-.73E-6,0
GSAT0205 (PRN E24),2015-045A,2020-12-25T13:40:07.378176,1.70474664,.0005441,56.0053,276.8376,3.3521,356.6809,0,U,40889,999,3292,0,-.3E-6,0
GSAT0206 (PRN E30),2015-045B,2020-12-25T04:51:33.050304,1.70474753,.0003854,56.0049,276.8442,350.6520,9.3692,0,U,40890,999,3294,0,-.33E-6,0
GSAT0209 (PRN E09),2015-079A,2020-12-23T14:47:31.876224,1.70473517,.0002544,55.0265,156.2741,339.4965,20.4800,0,U,41174,999,3082,0,.75E-6,0
GSAT0208 (PRN E08),2015-079B,2020-12-25T00:13:17.101344,1.70473507,.0001835,55.0247,156.2350,344.0046,15.9742,0,U,41175,999,3126,0,.75E-6,0
GSAT0211 (PRN E02),2016-030A,2020-12-25T03:07:58.376064,1.70474447,.0004794,56.1481,276.7223,327.5407,32.4581,0,U,41549,999,2857,0,-.33E-6,0
GSAT0210 (PRN E01),2016-030B,2020-12-24T20:05:01.596192,1.70474457,.0003747,56.1476,276.7319,304.8365,55.1560,0,U,41550,999,2856,0,-.35E-6,0
GSAT0207 (PRN E07),2016-069A,2020-12-25T16:03:08.073216,1.70473500,.0002011,54.6855,156.5327,315.6591,44.3076,0,U,41859,999,2547,0,.75E-6,0
GSAT0212 (PRN E03),2016-069B,2020-12-24T22:27:25.479648,1.70473527,.0002105,54.6825,156.5515,10.8995,349.0903,0,U,41860,999,2555,0,.75E-6,0
GSAT0213 (PRN E04),2016-069C,2020-12-23T13:00:00.091872,1.70473548,.0001223,54.6848,156.5944,257.7778,102.1958,0,U,41861,999,2553,0,.75E-6,0
GSAT0214 (PRN E05),2016-069D,2020-12-25T10:45:49.206816,1.70473614,.0000434,54.6835,156.5368,268.7775,91.2012,0,U,41862,999,2555,0,.75E-6,0
GSAT0215 (PRN E21),2017-079A,2020-12-24T04:17:43.766592,1.70473649,.0003057,56.1237,276.5892,304.4605,55.5377,0,U,43055,999,1887,0,-.38E-6,0
GSAT0216 (PRN E25),2017-079B,2020-12-25T01:23:47.951232,1.70473780,.0004735,56.1233,276.5647,294.4114,65.5678,0,U,43056,999,1890,0,-.33E-6,0
GSAT0217 (PRN E27),2017-079C,2020-12-25T06:40:44.005440,1.70473725,.0004618,56.1215,276.5590,306.9008,53.0859,0,U,43057,999,1889,0,-.32E-6,0
GSAT0218 (PRN E31),2017-079D,2020-12-24T07:48:09.440928,1.70473739,.0005078,56.1223,276.5826,288.7814,71.1907,0,U,43058,999,1890,0,-.37E-6,0
GSAT0221 (PRN E15),2018-060A,2020-12-25T23:36:32.290848,1.70476290,.0006012,56.9233,35.8117,267.5484,92.4485,0,U,43564,999,1509,0,-.69E-6,0
GSAT0222 (PRN E33),2018-060B,2020-12-25T14:48:25.970400,1.70476313,.0005597,56.9252,35.8213,272.9398,87.0608,0,U,43565,999,1512,0,-.71E-6,0
GSAT0219 (PRN E36),2018-060C,2020-12-24T15:56:27.721536,1.70476154,.0005345,56.9252,35.8490,268.2415,91.7591,0,U,43566,999,1508,0,-.76E-6,0
GSAT0220 (PRN E13),2018-060D,2020-12-25T11:17:47.037984,1.70476324,.0005411,56.9253,35.8276,269.5550,90.4472,0,U,43567,999,1508,0,-.72E-6,0
