OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2425 (716),2006-062A,2020-12-25T15:14:01.457376,2.13107773,.0024494,64.8931,261.3254,346.2804,10.1868,0,U,29670,999,10896,0,-.1E-7,0
COSMOS 2433 (720),2007-052A,2020-12-26T00:42:46.194912,2.13104225,.0005308,66.0306,22.5479,248.7704,230.8996,0,U,32275,999,10249,0,-.39E-6,0
COSMOS 2432 (719),2007-052B,2020-12-25T16:22:46.746336,2.13103474,.0010661,66.0429,22.6530,315.4831,207.5072,0,U,32276,999,10248,0,-.41E-6,0
COSMOS 2434 (721),2007-065A,2020-12-26T02:51:40.988160,2.13103033,.0002715,64.5102,259.8466,71.7232,4.5612,0,U,32393,999,10120,0,.9E-7,0
COSMOS 2436 (723),2007-065C,2020-12-26T00:59:34.999584,2.13102896,.0015527,64.5198,259.9007,359.1684,153.5621,0,U,32395,999,10113,0,.8E-7,0
COSMOS 2456 (730),2009-070A,2020-12-26T02:56:12.806880,2.13099148,.0002172,64.2518,139.5257,350.1306,261.4187,0,U,36111,999,8586,0,.42E-6,0
COSMOS 2457 (733),2009-070B,2020-12-25T13:21:26.819424,2.13101406,.0006775,64.2332,139.4341,148.2874,152.1824,0,U,36112,999,8585,0,.46E-6,0
COSMOS 2459 (731),2010-007A,2020-12-25T20:18:10.416096,2.13104991,.0024897,65.9292,21.5009,343.6102,211.1226,0,U,36400,999,8420,0,-.4E-6,0
COSMOS 2461 (735),2010-007B,2020-12-25T18:53:53.820672,2.13103601,.0018924,65.9242,21.4676,359.6995,152.2491,0,U,36401,999,8421,0,-.4E-6,0
COSMOS 2460 (732),2010-007C,2020-12-26T05:03:50.476896,2.13106540,.0002539,65.9109,21.4138,255.8940,164.0800,0,U,36402,999,8422,0,-.38E-6,0
COSMOS 2464 (736),2010-041C,2020-12-25T13:07:01.818912,2.13100726,.0028103,64.1104,259.2098,9.5100,209.6327,0,U,37139,999,8026,0,.2E-7,0
COSMOS 2471 (701K),2011-009A,2020-12-25T16:25:25.151232,2.13107366,.0010804,65.9101,21.3716,230.7488,308.6225,0,U,37372,999,7648,0,-.41E-6,0
COSMOS 2476 (744),2011-064A,2020-12-25T12:55:58.469952,2.13101825,.0018676,64.5485,140.6901,231.7084,193.0314,0,U,37867,999,7120,0,.49E-6,0
COSMOS 2477 (745),2011-064B,2020-12-25T23:50:37.051296,2.13101655,.0016084,64.5569,140.7335,232.1157,359.8110,0,U,37868,999,7116,0,.46E-6,0
COSMOS 2475 (743),2011-064C,2020-12-25T18:26:55.021632,2.13101822,.0019637,64.5643,140.7443,255.9736,121.0707,0,U,37869,999,7117,0,.48E-6,0
COSMOS 2485 (747),2013-019A,2020-12-25T17:17:47.921856,2.13101839,.0019464,64.7155,140.9951,227.3761,21.3902,0,U,39155,999,5967,0,.49E-6,0
COSMOS 2492 (754),2014-012A,2020-12-25T18:51:42.788160,2.13103205,.0014079,65.8004,21.1844,314.7858,18.9430,0,U,39620,999,5262,0,-.41E-6,0
COSMOS 2500 (755),2014-032A,2020-12-26T02:15:10.242720,2.13102407,.0008232,65.7423,21.0754,216.4700,213.5598,0,U,40001,999,5085,0,-.39E-6,0
COSMOS 2501 (702K),2014-075A,2020-12-26T03:18:21.263040,2.13101296,.0016348,63.8245,260.0625,212.2886,57.1582,0,U,40315,999,4725,0,.8E-7,0
COSMOS 2514 (751),2016-008A,2020-12-25T22:25:05.707776,2.13102866,.0011956,65.5436,20.9052,222.2294,268.0400,0,U,41330,999,3801,0,-.41E-6,0
COSMOS 2516 (753),2016-032A,2020-12-25T16:25:42.814848,2.13104643,.0012703,64.0493,260.2032,222.2417,328.1352,0,U,41554,999,3561,0,.2E-7,0
COSMOS 2522 (752),2017-055A,2020-12-25T20:14:42.789120,2.13102129,.0006979,64.2814,260.4351,255.3521,283.2688,0,U,42939,999,2537,0,.4E-7,0
COSMOS 2527 (756),2018-053A,2020-12-25T13:01:30.841248,2.13102541,.0006495,64.8794,140.8884,213.5561,126.2549,0,U,43508,999,1965,0,.5E-6,0
COSMOS 2529 (757),2018-086A,2020-12-25T10:26:29.141664,2.13102060,.0010085,64.4960,260.6199,276.9572,263.8565,0,U,43687,999,1667,0,-.2E-7,0
COSMOS 2534 (758),2019-030A,2020-12-25T17:29:36.660192,2.13101894,.0013491,64.5662,260.4443,293.2552,247.9161,0,U,44299,999,1232,0,.2E-7,0
COSMOS 2544 (759),2019-088A,2020-12-25T18:58:59.694816,2.13102289,.000955,64.8638,140.7437,258.1340,316.0340,0,U,44850,999,810,0,.48E-6,0
COSMOS 2545 (760),2020-018A,2020-12-26T04:26:31.021728,2.13102655,.0011481,64.8727,21.9502,250.4373,116.3142,0,U,45358,999,606,0,-.42E-6,0
