OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU 3 (C01),2010-001A,2021-01-03T11:59:55.217760,1.00273058,.0003361,1.6414,38.8492,120.7161,264.1677,0,U,36287,999,4020,0,-.27E-5,0
BEIDOU 5 (C06),2010-036A,2021-01-03T11:59:47.636160,1.00253519,.0100672,54.1676,181.1191,233.3407,346.3152,0,U,36828,999,3825,0,-.2E-7,0
BEIDOU 6 (C04),2010-057A,2021-01-03T13:38:14.885376,1.00273188,.0006428,0.8588,49.0266,192.7246,226.2265,0,U,37210,999,3732,0,-.101E-5,0
BEIDOU 7 (C07),2010-068A,2021-01-03T05:13:05.572704,1.00246787,.0079448,51.1470,295.9695,215.5580,145.2156,0,U,37256,999,3683,0,-.204E-5,0
BEIDOU 8 (C08),2011-013A,2021-01-02T20:39:52.376832,1.00300552,.0055736,59.5546,59.5723,205.0428,264.0857,0,U,37384,999,3570,0,-.187E-5,0
BEIDOU 9 (C09),2011-038A,2021-01-02T21:44:13.317216,1.00253599,.0072814,54.4499,183.5367,223.0947,114.4825,0,U,37763,999,3467,0,-.2E-7,0
BEIDOU 10 (C10),2011-073A,2021-01-02T21:38:54.223008,1.00290588,.0071194,51.2482,295.5766,216.3070,9.8024,0,U,37948,999,3343,0,-.141E-5,0
BEIDOU 11 (C05),2012-008A,2021-01-02T22:50:42.557280,1.00271172,.0003782,1.9029,70.9351,234.4205,198.8247,0,U,38091,999,3251,0,.67E-6,0
BEIDOU 12 (C11),2012-018A,2021-01-02T20:42:47.203776,1.86234608,.0024849,56.7546,11.0801,248.1636,264.8225,0,U,38250,999,5920,0,-.56E-6,0
BEIDOU 13 (C12),2012-018B,2021-01-02T07:11:42.711360,1.86232889,.0015859,56.6776,10.4581,250.3146,289.4726,0,U,38251,999,5919,0,-.57E-6,0
BEIDOU 15 (C14),2012-050B,2021-01-02T16:38:26.043936,1.86232255,.0012476,55.1369,129.5740,322.9555,318.0587,0,U,38775,999,5657,0,.41E-6,0
BEIDOU 16 (C02),2012-059A,2021-01-02T22:34:42.515040,1.00268986,.0009072,1.5750,84.7167,255.3900,185.3289,0,U,38953,999,3008,0,-.164E-5,0
BEIDOU 17 (C31),2015-019A,2021-01-02T23:22:20.036928,1.00301320,.003713,52.7580,318.9029,189.7134,35.8140,0,U,40549,999,2111,0,-.151E-5,0
BEIDOU 18 (C57),2015-037A,2021-01-03T05:37:13.115712,1.86233435,.0003991,55.9434,9.6142,317.8689,38.4862,0,U,40748,999,3703,0,-.58E-6,0
BEIDOU 19 (C58),2015-037B,2021-01-02T17:42:31.313952,1.86232142,.0006839,55.9472,9.6201,293.8172,226.5957,0,U,40749,999,3702,0,-.58E-6,0
BEIDOU 20 (C18),2015-053A,2021-01-02T23:21:53.910432,1.00273847,.0046428,52.3196,281.9562,191.9685,75.9641,0,U,40938,999,1939,0,-.124E-5,0
BEIDOU IGSO-6 (C13),2016-021A,2021-01-02T23:21:29.386656,1.00260941,.0043017,57.3226,58.3932,209.4443,278.6730,0,U,41434,999,1751,0,-.137E-5,0
BEIDOU-2 G7 (C03),2016-037A,2021-01-03T03:43:37.278048,1.00264862,.0008558,1.9064,69.0780,353.8506,206.3636,0,U,41586,999,1681,0,-.343E-5,0
BEIDOU-3 M1 (C19),2017-069A,2021-01-02T15:42:33.395616,1.86231716,.0007588,55.2921,129.5051,285.5364,125.9262,0,U,43001,999,2151,0,.41E-6,0
BEIDOU-3 M2 (C20),2017-069B,2021-01-02T23:02:58.819200,1.86231442,.0006349,55.2911,129.5294,315.3189,344.8521,0,U,43002,999,2150,0,.42E-6,0
BEIDOU-3 M3 (C27),2018-003A,2021-01-03T11:11:50.915328,1.86232521,.0003271,55.3824,10.7605,26.9486,58.4495,0,U,43107,999,2028,0,-.59E-6,0
BEIDOU-3 M4 (C28),2018-003B,2021-01-03T00:58:42.856320,1.86232564,.0004692,55.3765,10.7663,248.9326,316.1767,0,U,43108,999,2027,0,-.59E-6,0
BEIDOU-3 M5 (C21),2018-018A,2021-01-02T15:29:11.976864,1.86231375,.0004683,55.2506,129.6377,343.2753,16.6820,0,U,43207,999,1965,0,.41E-6,0
BEIDOU-3 M6 (C22),2018-018B,2021-01-02T17:05:19.510368,1.86231504,.0006278,55.2501,129.6404,299.2009,60.7095,0,U,43208,999,1965,0,.41E-6,0
BEIDOU-3 M7 (C29),2018-029A,2021-01-02T15:27:15.182208,1.86232613,.0001767,55.3219,8.5898,269.7342,254.2365,0,U,43245,999,1880,0,-.59E-6,0
BEIDOU-3 M8 (C30),2018-029B,2021-01-02T14:07:25.518720,1.86232904,.0004599,55.3178,8.6224,324.9342,207.9283,0,U,43246,999,1879,.1E-3,-.6E-6,0
BEIDOU IGSO-7 (C16),2018-057A,2021-01-02T22:01:58.192032,1.00264108,.0030934,55.0495,180.4453,211.9190,155.5444,0,U,43539,999,919,0,-.72E-6,0
BEIDOU-3 M9 (C23),2018-062A,2021-01-02T19:54:23.018976,1.86231870,.0003705,54.4720,250.2869,300.7558,243.3472,0,U,43581,999,1654,0,.44E-6,0
BEIDOU-3 M10 (C24),2018-062B,2021-01-02T21:13:19.502400,1.86232327,.0006402,54.4714,250.2733,359.3915,312.6530,0,U,43582,999,1654,0,.44E-6,0
BEIDOU-3 M11 (C25),2018-067A,2021-01-02T15:04:27.165216,1.86231534,.00075,54.5451,248.8507,358.1034,184.7129,0,U,43602,999,1603,0,.48E-6,0
BEIDOU-3 M12 (C26),2018-067B,2021-01-02T18:17:24.302112,1.86231473,.0004812,54.5423,248.8146,351.0958,192.0531,0,U,43603,999,1605,0,.47E-6,0
BEIDOU-3 M13 (C32),2018-072A,2021-01-03T11:48:35.519328,1.86231592,.0004436,55.2153,129.1827,278.3078,64.6570,0,U,43622,999,1557,0,.43E-6,0
BEIDOU-3 M14 (C33),2018-072B,2021-01-03T11:12:13.152960,1.86231595,.0002982,55.2173,129.1751,318.7147,97.5493,0,U,43623,999,1558,0,.43E-6,0
BEIDOU-3 M15 (C34),2018-078A,2021-01-03T03:39:11.329344,1.86232977,.0006848,55.2138,8.7762,336.0764,124.4207,0,U,43647,999,1508,.1E-3,-.59E-6,0
BEIDOU-3 M16 (C35),2018-078B,2021-01-03T10:51:54.847296,1.86232304,.0004442,55.2110,8.7734,338.8848,231.8209,0,U,43648,999,1510,.1E-3,-.59E-6,0
BEIDOU-3 G1 (C59),2018-085A,2021-01-03T12:01:13.084896,1.00271498,.0004385,1.3499,243.7645,10.6264,169.3333,0,U,43683,999,810,0,-.266E-5,0
BEIDOU-3 M17 (C36),2018-093A,2021-01-03T00:43:30.406656,1.86231903,.0009107,54.5522,250.1257,278.6897,264.9919,0,U,43706,999,1444,0,.44E-6,0
BEIDOU-3 M18 (C37),2018-093B,2021-01-02T11:46:55.379136,1.86232136,.0008565,54.5523,250.1331,304.3015,328.5059,0,U,43707,999,1443,0,.47E-6,0
