#stn,X,Y,Z,ReceiverName,AntennaName,ClockType
ABMF00GLP,2919786.0,-5383745.0,1774604.0,SEPT POLARX5,TRM57971.00,INTERNAL
ABPO00MDG,4097216.6805,4429119.0287,-2065771.3676,SEPT POLARX5,ASH701945G_M,INTERNAL
ACRG00GHA,6347491.377,-22944.8986,622822.4766,JAVAD TR_G3TH,JAV_RINGANT_G3T,INTERNAL
ADIS00ETH,4913652.948,3945922.493,995383.145,JPS LEGACY,TRM29659.00,INTERNAL 
AGGO00ARG,2765122.098,-4449250.084,-3626405.34,LEICA GRX1200+GNSS,LEIAR25.R4,EXTERNAL CESIUM 1
AIRA00JPN,-3530185.489,4118797.337,3344036.931,TRIMBLE NETR9,TRM59800.00,EXTERNAL CESIUM
AJAC00FRA,4696990.0,723994.0,4239678.0,SEPT POLARX5,TRM115000.00,INTERNAL
ALBH00CAN,-2341332.884,-3539049.509,4745791.36,SEPT POLARX5,TRM59800.00,EXTERNAL H-MASER
ALGO00CAN,918129.4,-4346071.2,4561977.8,SEPT POLARX5,AOAD/M_T,EXTERNAL H-MASER
ALIC00AUS,-4052051.767,4212836.215,-2545106.027,SEPT POLARX5,LEIAR25.R3,INTERNAL
ALRT00CAN,388042.75,-740382.4,6302001.85,ASHTECH UZ-12,ASH701945D_M,INTERNAL
AMC400USA,-1248596.405,-4819428.21,3976505.93,SEPT POLARX5TR,TPSCR.G5C,EXTERNAL H-MASER
ANKR00TUR,4121934.26,2652189.812,4069034.911,LEICA GR30,LEIAR10,INTERNAL
ANMG00MYS,-1270826.87,6242631.446,307792.439,TRIMBLE NETR9,JAVRINGANT_DM,INTERNAL
ANTC00CHL,1608539.0,-4816370.0,-3847799.0,TRIMBLE NETR9,ASH700936D_M,INTERNAL 
AREG00PER,1942816.3653,-5804077.1395,-1796884.4383,SEPT POLARX5,TRM59800.00,EXTERNAL RUBIDIUM
AREQ00PER,1942826.192,-5804070.331,-1796894.267,JAVAD TRE_G3TH DELTA,JAVRINGANT_DM,EXTERNAL XL-DC 151-358-108-2
ARHT00ATA,-1312626.536,311171.129,-6213081.915,JAVAD TRE_3 DELTA,JAVRINGANT_DM,INTERNAL
ARTU00RUS,1843956.968,3016202.97,5291261.66,JAVAD TRE_G3TH DELTA,ASH700936D_M,INTERNAL
ARUC00ARM,3500416.7822,3390432.6839,4103027.5848,SEPT POLARX5,ASH701945C_M,INTERNAL
ASCG00SHN,6121151.5493,-1563978.9235,-872615.3556,TRIMBLE NETR9,TRM59800.00,INTERNAL
